Motif,RBP
MTF11126,HNRNPH3
MTF11456,HNRNPH3
MTF11353,HNRNPH3
MTF11606,HNRNPH3
MTF10612,HNRNPH3
MTF11337,HNRNPH3
MTF11197,HNRNPH3
MTF11359,HNRNPH3
MTF11603,HNRNPH3
MTF10855,HNRNPH3
MTF11169,HNRNPH3
MTF11020,PTBP1
MTF11063,PTBP1
MTF11294,PTBP1
MTF11194,PTBP1
MTF11137,PTBP1
MTF11067,PTBP1
MTF11138,PTBP1
MTF10661,PTBP1
MTF11365,PTBP1
MTF11455,PTBP1
MTF11014,PTBP1
MTF10883,PTBP1
MTF11574,PTBP1
MTF10842,PTBP1
MTF11090,PTBP1
MTF10939,PTBP1
MTF10764,PTBP1
MTF11448,PTBP1
MTF11004,PTBP1
MTF10726,PTBP1
MTF10758,PTBP1
MTF11202,PTBP1
MTF11203,PTBP1
MTF10711,PTBP1
MTF10874,PTBP1
MTF11327,PTBP1
MTF11641,PTBP1
MTF11315,PTBP1
MTF11153,PTBP1
MTF11072,PTBP1
MTF11509,PTBP1
MTF11397,PTBP1
MTF11182,HNRNPK
MTF11713,HNRNPK
MTF11077,HNRNPK
MTF10825,HNRNPK
MTF10766,HNRNPK
MTF11049,HNRNPK
MTF10613,HNRNPK
MTF10838,HNRNPK
MTF10978,HNRNPK
MTF11274,HNRNPK
MTF11700,HNRNPK
MTF11198,HNRNPK
MTF10748,HNRNPK
MTF11534,HNRNPK
MTF11669,HNRNPK
MTF11338,HNRNPK
MTF10893,HNRNPK
MTF11464,HNRNPL
MTF11594,HNRNPL
MTF10904,HNRNPL
MTF10633,HNRNPLL
MTF11289,HNRNPLL
MTF11108,HNRNPM
MTF10622,HNRNPM
MTF11291,FUS
MTF10984,FUS
MTF10950,FUS
MTF10745,FUS
MTF10819,SYNCRIP
MTF11398,SYNCRIP
MTF11012,SYNCRIP
MTF11321,SYNCRIP
MTF11633,SYNCRIP
MTF11115,HNRNPU
MTF10699,HNRNPU
MTF10648,HNRNPU
MTF11386,HNRNPU
MTF10982,HNRNPU
MTF11452,HNRNPU
MTF11341,HNRNPU
MTF10652,HNRNPU
MTF11228,TRA2A
MTF10965,TRA2B
MTF11068,TRA2B
MTF10672,TRA2B
MTF10732,TRA2B
MTF11527,TRA2B
MTF10861,TRA2B
MTF11351,TRA2B
MTF10935,TRA2B
MTF11114,TRA2B
MTF11184,TRA2B
MTF10668,TRA2B
MTF11208,TRA2B
MTF11304,TRA2B
MTF10918,ELAVL2
MTF11388,ELAVL3
MTF11295,ELAVL4
MTF10887,ELAVL4
MTF11664,ELAVL4
MTF11181,ELAVL4
MTF11217,ELAVL4
MTF11309,ELAVL4
MTF11555,ELAVL4
MTF11371,ELAVL4
MTF10610,ELAVL1
MTF10736,ELAVL1
MTF10720,ELAVL1
MTF11403,ELAVL1
MTF11618,ELAVL1
MTF10892,ELAVL1
MTF11573,KHSRP
MTF11631,KHSRP
MTF11259,KHSRP
MTF11326,KHSRP
MTF10646,KHSRP
MTF10755,KHSRP
MTF11305,KHSRP
MTF10627,KHSRP
MTF11123,KHSRP
MTF11515,KHSRP
MTF11081,KHSRP
MTF11416,KHSRP
MTF11092,MBNL1
MTF11227,MBNL1
MTF10847,MBNL1
MTF11265,MBNL1
MTF11314,MBNL1
MTF11608,MBNL1
MTF11225,NOVA1
MTF11472,NOVA1
MTF11671,NOVA1
MTF11069,NOVA1
MTF10697,NOVA1
MTF11430,NOVA1
MTF11196,NOVA2
MTF10770,PTBP2
MTF11008,SFPQ
MTF11023,SFPQ
MTF11306,QKI
MTF10907,QKI
MTF11720,QKI
MTF11413,QKI
MTF11355,QKI
MTF11450,RBM25
MTF10948,RBM25
MTF11104,RBM4
MTF11380,RBM4
MTF11047,RBM4
MTF11019,RBM5
MTF10599,RBM5
MTF10658,RBM5
MTF11434,RBM5
MTF11529,RBM5
MTF10884,RBM5
MTF11141,RBM5
MTF10667,KHDRBS1
MTF11026,KHDRBS1
MTF10812,KHDRBS1
MTF11285,KHDRBS1
MTF11622,KHDRBS1
MTF10760,SRSF2
MTF11006,SRSF2
MTF11007,SRSF2
MTF11082,SRSF2
MTF11010,SRSF2
MTF10871,SRSF2
MTF11149,SRSF2
MTF11243,SRSF2
MTF10685,SRSF2
MTF11645,SRSF2
MTF11313,SRSF2
MTF11429,SRSF2
MTF10974,SRSF2
MTF10845,SRSF2
MTF10854,SRSF2
MTF11331,SRSF2
MTF11496,SRSF2
MTF11144,SRSF2
MTF11158,SRSF2
MTF10731,SRSF2
MTF11442,SRSF2
MTF10636,SRSF2
MTF11040,SRSF2
MTF10606,SRSF2
MTF11627,SF1
MTF11052,SF1
MTF10987,SF1
MTF11191,SF1
MTF11233,SF1
MTF11451,SF1
MTF11550,SF1
MTF10719,SF1
MTF11565,SF1
MTF11349,SF1
MTF10880,SF1
MTF10782,SF1
MTF11428,SF1
MTF11226,SF1
MTF11029,SF1
MTF11605,SF1
MTF10779,SF1
MTF11682,SF1
MTF10878,SF1
MTF10859,SF1
MTF10915,SF1
MTF10946,SF1
MTF11697,SF1
MTF11684,SF1
MTF11526,SF1
MTF10881,SF1
MTF10985,SF1
MTF10684,SRSF1
MTF11571,SRSF1
MTF11431,SRSF1
MTF11699,SRSF1
MTF10956,SRSF1
MTF10706,SRSF1
MTF11271,SRSF1
MTF10621,SRSF1
MTF11427,SRSF1
MTF11119,SRSF1
MTF10642,SRSF1
MTF11688,SRSF1
MTF11703,SRSF1
MTF11716,SRSF1
MTF11247,SRSF1
MTF11715,SRSF1
MTF10598,SRSF1
MTF11244,SRSF1
MTF10644,SRSF1
MTF11205,SRSF1
MTF11107,SRSF1
MTF11373,SRSF1
MTF10671,SRSF1
MTF10653,SRSF1
MTF11490,SRSF1
MTF11088,SRSF1
MTF11560,SRSF1
MTF11159,SRSF1
MTF11604,SRSF1
MTF11062,SRSF1
MTF10601,SRSF1
MTF11457,KHDRBS2
MTF11027,KHDRBS3
MTF11214,SRSF3
MTF11408,SRSF3
MTF11346,SRSF3
MTF10960,SRSF3
MTF11207,SRSF3
MTF10747,SRSF3
MTF11050,SRSF3
MTF11024,SRSF3
MTF11647,SRSF3
MTF11381,SRSF3
MTF11483,SRSF3
MTF11436,SRSF3
MTF11005,SRSF9
MTF11240,SRSF9
MTF11369,SRSF9
MTF11316,SRSF10
MTF11717,SRSF10
MTF10996,SRSF10
MTF11003,SRSF5
MTF11145,SRSF5
MTF11460,SRSF5
MTF11013,SRSF11
MTF11446,SRSF6
MTF10768,SRSF6
MTF11667,SRSF6
MTF10906,SRSF6
MTF11538,SRSF6
MTF10649,SRSF6
MTF11475,SRSF6
MTF10823,SRSF4
MTF11028,SRSF4
MTF11377,TARDBP
MTF11087,TARDBP
MTF11659,TARDBP
MTF11230,TARDBP
MTF11039,TARDBP
MTF11311,TARDBP
MTF10863,TARDBP
MTF11495,TARDBP
MTF10802,TIA1
MTF11128,TIA1
MTF11112,TIA1
MTF11592,TIAL1
MTF11290,TIAL1
MTF11722,TIAL1
MTF10799,YBX1
MTF11628,YBX1
MTF11701,YBX1
MTF10821,YBX1
